name,address,phone
Beverly Hills High School,"241 S Moreno Dr, Beverly Hills, CA 90212, USA",(310) 229-3685
Fairfax High School,"7850 Melrose Ave, Los Angeles, CA 90046, USA",(323) 370-1200
Hamilton High School,"2955 S Robertson Blvd, Los Angeles, CA 90034, USA",(310) 280-1400
Marymount High School,"10643 W Sunset Blvd, Los Angeles, CA 90077, USA",(310) 472-1205
Los Angeles High School,"4650 W Olympic Blvd, Los Angeles, CA 90019, USA",(323) 900-2700
University High School,"11800 Texas Ave, Los Angeles, CA 90025, USA",(310) 914-3500
Palisades Charter High School,"15777 Bowdoin St, Pacific Palisades, CA 90272, USA",(310) 230-6623
Crenshaw High School,"5010 11th Ave, Los Angeles, CA 90043, USA",(323) 290-7800
Loyola High School,"1901 Venice Blvd., Los Angeles, CA 90006, USA",(213) 381-5121
El Segundo High School,"640 Main St, El Segundo, CA 90245, USA",(310) 615-2662
Susan Miller Dorsey Senior High School,"3537 Farmdale Ave, Los Angeles, CA 90016, USA",(323) 298-8400
St Bernard High School,"9100 Falmouth Ave, Playa Del Rey, CA 90293, USA",(310) 823-4651
Manual Arts Sr High School,"4131 Vermont Ave, Los Angeles, CA 90037, USA",(323) 846-7300
Washington Preparatory High School,"10860 Denker Ave, Los Angeles, CA 90047, USA",(323) 418-4000
Hawthorne High School,"4859 W El Segundo Blvd, Hawthorne, CA 90250, USA",(310) 263-4400
Inglewood High School,"231 S Grevillea Ave, Inglewood, CA 90301, USA",(310) 680-5200
Lawndale High School,"14901 S Inglewood Ave, Lawndale, CA 90260, USA",(310) 263-3100
Santa Monica High School,"601 Pico Blvd, Santa Monica, CA 90405, USA",(310) 395-3204
